X,Y,Z
4298343.41506958,-2432281.84988298,12547
4298343.41506958,-2431556.99672566,12637
4298343.41506958,-2430832.14356834,12710
4298343.41506958,-2430107.29041102,12638
4298343.41506958,-2429382.4372537,12430
4298343.41506958,-2428657.58409638,12238
4298343.41506958,-2427932.73093906,12306
4298343.41506958,-2427207.87778174,12210
4298343.41506958,-2426483.02462442,12030
4297415.97488403,-2506509.05414704,12032
4297415.97488403,-2505784.11682011,12154
4297415.97488403,-2505059.17949318,12154
4297415.97488403,-2504334.24216626,12161
4297415.97488403,-2503609.30483933,12143
4297415.97488403,-2502884.3675124,12128
4297415.97488403,-2502159.43018547,12143
4297415.97488403,-2501434.49285854,12257
4297415.97488403,-2500709.3896041,12385
4297415.97488403,-2499984.45227717,12494
4297415.97488403,-2499259.51495024,12568
4297415.97488403,-2498534.57762331,12612
4297415.97488403,-2497809.64029638,12628
4297415.97488403,-2497084.70296946,12621
4297415.97488403,-2496359.76564253,12592
4297415.97488403,-2495634.8283156,12536
4297415.97488403,-2494909.89098867,12468
4297415.97488403,-2494184.95366174,12423
4297415.97488403,-2493460.01633481,12393
4297415.97488403,-2492735.07900789,12389
4297415.97488403,-2492010.14168096,12364
4297415.97488403,-2491285.20435403,12305
4297415.97488403,-2490560.2670271,12250
4297415.97488403,-2489835.16377266,12174
4297415.97488403,-2489110.22644573,12028
4297415.97488403,-2488385.2891188,12022
4297415.97488403,-2436914.07519683,12036
4297415.97488403,-2436189.1378699,12085
4297415.97488403,-2435464.03461545,12195
4297415.97488403,-2434739.09728852,12242
4297415.97488403,-2434014.1599616,12208
4297415.97488403,-2433289.22263467,12279
4297415.97488403,-2432564.28530774,12327
4297415.97488403,-2431839.34798081,12509
4297415.97488403,-2431114.41065388,12630
4297415.97488403,-2430389.47332696,12686
4297415.97488403,-2429664.53600003,12592
4297415.97488403,-2428939.5986731,12448
4297415.97488403,-2428214.66134617,12560
4297415.97488403,-2427489.72401924,12662
4297415.97488403,-2426764.78669232,12403
4297415.97488403,-2426039.84936539,12282
4297415.97488403,-2425314.91203846,12110
4297415.97488403,-2424589.80878401,12013
4296488.11004639,-2507525.17674452,12085
4296488.11004639,-2506800.15522478,12212
4296488.11004639,-2506075.13370504,12287
4296488.11004639,-2505350.11218531,12322
4296488.11004639,-2504625.09066557,12236
4296488.11004639,-2503900.06914583,12246
4296488.11004639,-2503175.04762609,12309
4296488.11004639,-2502450.02610636,12339
4296488.11004639,-2501725.00458662,12375
4296488.11004639,-2500999.8171201,12481
4296488.11004639,-2500274.79560036,12630
4296488.11004639,-2499549.77408062,12749
4296488.11004639,-2498824.75256089,12773
4296488.11004639,-2498099.73104115,12765
4296488.11004639,-2497374.70952141,12750
4296488.11004639,-2496649.68800167,12674
4296488.11004639,-2495924.66648194,12569
4296488.11004639,-2495199.6449622,12500
4296488.11004639,-2494474.62344246,12475
4296488.11004639,-2493749.60192273,12465
4296488.11004639,-2493024.58040299,12489
4296488.11004639,-2492299.55888325,12483
4296488.11004639,-2491574.53736352,12454
4296488.11004639,-2490849.51584378,12367
4296488.11004639,-2490124.32837725,12203
4296488.11004639,-2489399.30685752,12136
4296488.11004639,-2488674.28533778,12093
4296488.11004639,-2487949.26381804,12018
4296488.11004639,-2435021.86314331,12059
4296488.11004639,-2434296.84162358,12058
4296488.11004639,-2433571.82010384,12052
4296488.11004639,-2432846.7985841,12034
4296488.11004639,-2432121.77706437,12230
4296488.11004639,-2431396.75554463,12433
4296488.11004639,-2430671.73402489,12546
4296488.11004639,-2429946.71250516,12621
